Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2024,Normal value,Units,GOZ,Countries that adopt and implement investment promotion regimes for least developed countries  (1 = YES; 0 = NO) [17.5.1],,Boolean or binary measure,1
2025,Normal value,Units,GOZ,Countries that adopt and implement investment promotion regimes for least developed countries  (1 = YES; 0 = NO) [17.5.1],,Boolean or binary measure,1
