Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,MOFEDIP,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,20.54
2016,Normal value,Units,MOFEDIP,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,24.88
2017,Normal value,Units,MOFEDIP,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,9.98
2018,Normal value,Units,MOFEDIP,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,10.85
2019,Normal value,Units,MOFEDIP,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,10.93
2020,Normal value,Units,MOFEDIP,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,11.86
2021,Normal value,Units,MOFEDIP,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,17.52
2022,Normal value,Units,MOFEDIP,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,16.51
2023,Normal value,Units,MOFEDIP,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,21.04
2024,Normal value,Units,MOFEDIP,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,18.01
