Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2022,Normal value,Units,MOFEDIP,"Proportion of government spending in health, direct social transfers and education which benefit the monetary poor (%) [1.b.1]",,Percent,3.1
2023,Normal value,Units,MOFEDIP,"Proportion of government spending in health, direct social transfers and education which benefit the monetary poor (%) [1.b.1]",,Percent,1.1
