Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2024,Normal value,Units,ZDHS_2023_24,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1],,Female,15 to 49 years old,Percent,1.5
2024,Normal value,Units,ZDHS_2023_24,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1],,Male,15 to 49 years old,Percent,19.2
