Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2019,Normal value,Units,MOHCC,Tuberculosis incidence [3.3.2],,"Per 100,000 population",199
2020,Normal value,Units,MOHCC,Tuberculosis incidence [3.3.2],,"Per 100,000 population",193
2021,Normal value,Units,MOHCC,Tuberculosis incidence [3.3.2],,"Per 100,000 population",190
2022,Normal value,Units,MOHCC,Tuberculosis incidence [3.3.2],,"Per 100,000 population",204
2023,Normal value,Units,MOHCC,Tuberculosis incidence [3.3.2],,"Per 100,000 population",211
