Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,DHIS2,Universal health coverage (UHC) service coverage index [3.8.1],,Index,0.0
2016,Normal value,Units,DHIS2,Universal health coverage (UHC) service coverage index [3.8.1],,Index,93.3
2018,Normal value,Units,DHIS2,Universal health coverage (UHC) service coverage index [3.8.1],,Index,85.0
2023,Normal value,Units,DHIS2,Universal health coverage (UHC) service coverage index [3.8.1],,Index,84.0
