Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2024,Normal value,Units,MoFED,Proportion of electronic waste collected (%) [12.4.2],,Percent,122
2024,Normal value,Units,MoFED,Municipal waste generated (Tonnes) [12.4.2],,Metric Tons,122
