Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2022,Normal value,Units,MOHCC,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Percent,23
2022,Normal value,Units,MOHCC,"Health worker distribution, by sex and type of occupation [3.c.1]",,Percent,23
