Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2015,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,,,Percent,8.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,,,Percent,1.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,,Rural,Percent,1.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,,Urban,Percent,1.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,Female,,Percent,1.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,Male,,Percent,1.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Bulawayo,,,Percent,2.3
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Harare,,,Percent,0.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Manicaland,,,Percent,0.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Mashonaland Central,,,Percent,0.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Masholanad East,,,Percent,1.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Midlands,,,Percent,2.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Matabeland North,,,Percent,2.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Matabeland South,,,Percent,0.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Masvingo,,,Percent,3.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],Mashonaland West,,,Percent,2.5
