Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,MOEFEDIP,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,19.2
2017,Normal value,Units,MOEFEDIP,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,50.91
2018,Normal value,Units,MOEFEDIP,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,36.64
2019,Normal value,Units,MOEFEDIP,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,36.1
2020,Normal value,Units,MOEFEDIP,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,32.11
2021,Normal value,Units,MOEFEDIP,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,62.96
2022,Normal value,Units,MOEFEDIP,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,55.63
2023,Normal value,Units,MOEFEDIP,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,60.12
2024,Normal value,Units,MOEFEDIP,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,60.6
