Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2019,Normal value,Units,Zimstat_MICS_2019,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,Female,Percent,47.9
2019,Normal value,Units,Zimstat_MICS_2019,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,Male,Percent,82.8
