Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2021,Normal value,Units,MOFEDIP,Research and development expenditure as a proportion of GDP [9.5.1],,Percent,-2.2
2022,Normal value,Units,MOFEDIP,Research and development expenditure as a proportion of GDP [9.5.1],,Percent,-5.1
2023,Normal value,Units,MOFEDIP,Research and development expenditure as a proportion of GDP [9.5.1],,Percent,-8.4
2024,Normal value,Units,MOFEDIP,Research and development expenditure as a proportion of GDP [9.5.1],,Percent,-0.02
