Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Age,UNIT_MEASURE,Value
2017,Normal value,Units,Zimstat_QLFS,Proportion of children engaged in economic activity and household chores [8.7.1],,5 to 17 years old,Percent,9.1
2019,Normal value,Units,Zimstat_QLFS,Proportion of children engaged in economic activity and household chores [8.7.1],,5 to 17 years old,Percent,1.2
