Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2023,Normal value,Units,Constitution,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control [5.a.2],,Percent,1
2024,Normal value,Units,Constitution,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control [5.a.2],,Percent,1
