Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2018,Normal value,Units,Ministry_of_Lands,Proportion of agricultural area under productive and sustainable agriculture [2.4.1],,Percent,46.84
2019,Normal value,Units,Ministry_of_Lands,Proportion of agricultural area under productive and sustainable agriculture [2.4.1],,Percent,46.87
2020,Normal value,Units,Ministry_of_Lands,Proportion of agricultural area under productive and sustainable agriculture [2.4.1],,Percent,47.09
2021,Normal value,Units,Ministry_of_Lands,Proportion of agricultural area under productive and sustainable agriculture [2.4.1],,Percent,58.48
2022,Normal value,Units,Ministry_of_Lands,Proportion of agricultural area under productive and sustainable agriculture [2.4.1],,Percent,56.73
2023,Normal value,Units,Ministry_of_Lands,Proportion of agricultural area under productive and sustainable agriculture [2.4.1],,Percent,61.0
2024,Normal value,Units,Ministry_of_Lands,Proportion of agricultural area under productive and sustainable agriculture [2.4.1],,Percent,60.05
