Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2020,Normal value,Units,MOFEDIP,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,Percent,1.68
2021,Normal value,Units,MOFEDIP,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,Percent,2.01
2022,Normal value,Units,MOFEDIP,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,Percent,2.3
2023,Normal value,Units,MOFEDIP,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,Percent,1.65
2024,Normal value,Units,MOFEDIP,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,Percent,1.48
