Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2020,Normal value,Units,MOFEDIP_ICD_Devpromise_system,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,USD,50.5
2021,Normal value,Units,MOFEDIP_ICD_Devpromise_system,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,USD,40.9
2022,Normal value,Units,MOFEDIP_ICD_Devpromise_system,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,USD,128.4
2023,Normal value,Units,MOFEDIP_ICD_Devpromise_system,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,USD,94.0
2024,Normal value,Units,MOFEDIP_ICD_Devpromise_system,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,USD,30.0
