Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2024,Normal value,Units,ZDHS_2023_24,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],,Urban,Percent,24.7
2024,Normal value,Units,ZDHS_2023_24,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Bulawayo,Urban,Percent,18.2
2024,Normal value,Units,ZDHS_2023_24,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Harare,Urban,Percent,58.6
2024,Normal value,Units,ZDHS_2023_24,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Manicaland,Urban,Percent,32.9
2024,Normal value,Units,ZDHS_2023_24,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Mashonaland Central,Urban,Percent,12.3
2024,Normal value,Units,ZDHS_2023_24,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Masholanad East,Urban,Percent,24.0
2024,Normal value,Units,ZDHS_2023_24,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Midlands,Urban,Percent,14.5
2024,Normal value,Units,ZDHS_2023_24,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Matabeland North,Urban,Percent,17.4
2024,Normal value,Units,ZDHS_2023_24,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Matabeland South,Urban,Percent,17.4
2024,Normal value,Units,ZDHS_2023_24,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Masvingo,Urban,Percent,17.3
2024,Normal value,Units,ZDHS_2023_24,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Mashonaland West,Urban,Percent,14.2
