Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2020,Normal value,Units,Zimstat_MICS_2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,USD,368.9
2021,Normal value,Units,Zimstat_MICS_2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,USD,472.2
2022,Normal value,Units,Zimstat_MICS_2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,USD,565.5
2023,Normal value,Units,Zimstat_MICS_2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,USD,398.0
2024,Normal value,Units,Zimstat_MICS_2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,USD,441.4
