Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2009,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,10.77925292538384
2010,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,15.599746751843954
2011,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,15.552482356251456
2012,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,14.043402243513045
2013,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,13.68667748115296
2014,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,12.688281778215964
2015,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,12.491328600067485
2016,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,12.46642630785706
2017,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,12.061130060336104
2018,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,14.934874013195795
2019,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,14.222359751223692
2020,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,12.574882894728376
2021,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,11.732142339439504
2022,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,11.203113549009586
2023,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,10.861970847026
2009,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,87.17364525323653
2010,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,89.88366818709584
2011,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,103.81591238388076
2012,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,180.00809992716108
2013,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,180.44360399085463
2014,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,175.412928208344
2015,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,161.7794289104285
2016,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,162.4265466260702
2017,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,159.58276945699376
2018,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,167.37714744880176
2019,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,2114.9243702633025
2020,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,14852.217562323907
2021,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,26683.13941988497
2022,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,168085.16699636055
2023,Normal value,Units,ZIMSTAT_National_Accounts,Manufacturing value added per capita [9.2.1],,Percent,1418809.168446547
