Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2014,Normal value,Units,ZIMSTAT,Average share of the built-up area of cities that is open space for public use for all [11.7.1],,Number,0.05
2015,Normal value,Units,ZIMSTAT,Average share of the built-up area of cities that is open space for public use for all [11.7.1],,Number,0.05
2016,Normal value,Units,ZIMSTAT,Average share of the built-up area of cities that is open space for public use for all [11.7.1],,Number,0.05
2017,Normal value,Units,ZIMSTAT,Average share of the built-up area of cities that is open space for public use for all [11.7.1],,Number,0.05
2018,Normal value,Units,ZIMSTAT,Average share of the built-up area of cities that is open space for public use for all [11.7.1],,Number,0.05
2023,Normal value,Units,ZIMSTAT,Average share of the built-up area of cities that is open space for public use for all [11.7.1],,Number,50.0
2024,Normal value,Units,ZIMSTAT,Average share of the built-up area of cities that is open space for public use for all [11.7.1],,Number,75.0
