Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2017,Normal value,Units,MHTEISTD,Participation rate in formal and non-formal education and training [4.3.1],,Percent,37.2
2024,Normal value,Units,MHTEISTD,Participation rate in formal and non-formal education and training [4.3.1],,Percent,25.0
