Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2011,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,,Percent,72.3
2017,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,,Percent,53.1
2019,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,,Percent,57.0
2011,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,84.3
2017,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,64.7
2019,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,72.0
2011,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,46.5
2017,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,34.3
2019,Normal value,Units,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,24.0
2017,Normal value,Units,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,53.0
2017,Normal value,Units,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,Proportion of population living below the national poverty line [1.2.1],,Female,Rural,Percent,67.3
2017,Normal value,Units,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,Proportion of population living below the national poverty line [1.2.1],,Female,Urban,Percent,28.6
2017,Normal value,Units,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,53.2
2017,Normal value,Units,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,Proportion of population living below the national poverty line [1.2.1],,Male,Rural,Percent,61.6
2017,Normal value,Units,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,Proportion of population living below the national poverty line [1.2.1],,Male,Urban,Percent,40.1
2011,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Bulawayo,,,Percent,43.2
2017,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Bulawayo,,,Percent,14.9
2011,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Harare,,,Percent,43.7
2017,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Harare,,,Percent,20.0
2011,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Manicaland,,,Percent,80.0
2017,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Manicaland,,,Percent,64.5
2011,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Mashonaland Central,,,Percent,82.7
2017,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Mashonaland Central,,,Percent,57.4
2011,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Masholanad East,,,Percent,75.9
2017,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Masholanad East,,,Percent,65.5
2011,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Midlands,,,Percent,76.7
2017,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Midlands,,,Percent,55.3
2011,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Matabeland North,,,Percent,89.9
2017,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Matabeland North,,,Percent,74.8
2011,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Matabeland South,,,Percent,82.5
2017,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Matabeland South,,,Percent,55.9
2011,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Masvingo,,,Percent,73.8
2017,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Masvingo,,,Percent,56.9
2011,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Mashonaland West,,,Percent,80.1
2017,Normal value,Units,Zimstat_Poverty_Report_2017_Lower_Line,Proportion of population living below the national poverty line [1.2.1],Mashonaland West,,,Percent,62.2
