Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2020,Normal value,Units,SPAR,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,Percent,52
2023,Normal value,Units,SPAR,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,Percent,66
2024,Normal value,Units,SPAR,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,Percent,55
