Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2014,Normal value,Units,ZIMSTAT_National_Accounts_Department_2018,Labour share of GDP [10.4.1],,Percent,36.13081918691323
2015,Normal value,Units,ZIMSTAT_National_Accounts_Department_2018,Labour share of GDP [10.4.1],,Percent,36.495276013308654
2016,Normal value,Units,ZIMSTAT_National_Accounts_Department_2018,Labour share of GDP [10.4.1],,Percent,37.22806761880432
2017,Normal value,Units,ZIMSTAT_National_Accounts_Department_2018,Labour share of GDP [10.4.1],,Percent,37.4495374125864
2018,Normal value,Units,ZIMSTAT_National_Accounts_Department_2018,Labour share of GDP [10.4.1],,Percent,34.21241004712392
2036,Normal value,Units,ZIMSTAT_National_Accounts_Department_2018,Labour share of GDP [10.4.1],,Percent,36.13081918691323
