Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2014,Normal value,Units,Zimstat_ICT_Survey_2014,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,96
2033,Normal value,Units,Zimstat_ICT_Survey_2014,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,96
