Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2014,Normal value,Units,RBZ,Proportion of small-scale industries with a loan or line of credit [9.3.2],,Percent,39.0
2019,Normal value,Units,RBZ,Proportion of small-scale industries with a loan or line of credit [9.3.2],,Percent,5.25
2022,Normal value,Units,RBZ,Proportion of small-scale industries with a loan or line of credit [9.3.2],,Percent,4.15
2024,Normal value,Units,RBZ,Proportion of small-scale industries with a loan or line of credit [9.3.2],,Percent,5.25
2030,Normal value,Units,RBZ,Proportion of small-scale industries with a loan or line of credit [9.3.2],,Percent,39.0
2031,Normal value,Units,RBZ,Proportion of small-scale industries with a loan or line of credit [9.3.2],,Percent,4.15
2032,Normal value,Units,RBZ,Proportion of small-scale industries with a loan or line of credit [9.3.2],,Percent,5.25
