Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2015,Normal value,Units,ZDHS_2023_24,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,15 years old and over,Percent,15.0
2019,Normal value,Units,ZDHS_2023_24,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,15 years old and over,Percent,28.7
2023,Normal value,Units,ZDHS_2023_24,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,15 years old and over,Percent,39.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,15 years old and over,Percent,25.1
