Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Age,UNIT_MEASURE,Value
2015,Normal value,Units,Reserve_Bank_Of_Zimbabwe,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,Percent,48
2022,Normal value,Units,Reserve_Bank_Of_Zimbabwe,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,Percent,83
