Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Education level,UNIT_MEASURE,Value
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Bulawayo,Primary education or less,Percent,95.98
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Bulawayo,Secondary education (lower and upper secondary education),Percent,96.96
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Bulawayo,Primary education,Percent,95.98
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Harare,Primary education or less,Percent,98.01
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Harare,Secondary education (lower and upper secondary education),Percent,95.44
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Harare,Primary education,Percent,98.01
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Manicaland,Primary education or less,Percent,81.97
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Manicaland,Secondary education (lower and upper secondary education),Percent,80.67
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Manicaland,Primary education,Percent,81.97
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Mashonaland Central,Primary education or less,Percent,73.29
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Mashonaland Central,Secondary education (lower and upper secondary education),Percent,74.29
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Mashonaland Central,Primary education,Percent,73.29
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Masholanad East,Primary education or less,Percent,76.16
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Masholanad East,Secondary education (lower and upper secondary education),Percent,78.65
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Masholanad East,Primary education,Percent,76.16
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Midlands,Primary education or less,Percent,65.1
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Midlands,Secondary education (lower and upper secondary education),Percent,77.42
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Midlands,Primary education,Percent,65.1
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Matabeland North,Primary education or less,Percent,60.06
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Matabeland North,Secondary education (lower and upper secondary education),Percent,68.0
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Matabeland North,Primary education,Percent,60.06
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Matabeland South,Primary education or less,Percent,82.06
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Matabeland South,Secondary education (lower and upper secondary education),Percent,83.51
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Matabeland South,Primary education,Percent,82.06
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Masvingo,Primary education or less,Percent,62.28
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Masvingo,Secondary education (lower and upper secondary education),Percent,77.78
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Masvingo,Primary education,Percent,62.28
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Mashonaland West,Primary education or less,Percent,66.35
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Mashonaland West,Secondary education (lower and upper secondary education),Percent,69.62
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to electricity, by education level [4.a.1]",Mashonaland West,Primary education,Percent,66.35
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education or less,Percent,39.99
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Secondary education (lower and upper secondary education),Percent,52.49
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,39.99
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Bulawayo,Primary education or less,Percent,57.91
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Bulawayo,Secondary education (lower and upper secondary education),Percent,74.55
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Bulawayo,Primary education,Percent,57.91
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Harare,Primary education or less,Percent,66.21
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Harare,Secondary education (lower and upper secondary education),Percent,73.79
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Harare,Primary education,Percent,66.21
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Manicaland,Primary education or less,Percent,35.03
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Manicaland,Secondary education (lower and upper secondary education),Percent,51.47
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Manicaland,Primary education,Percent,35.03
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Mashonaland Central,Primary education or less,Percent,33.42
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Mashonaland Central,Secondary education (lower and upper secondary education),Percent,41.9
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Mashonaland Central,Primary education,Percent,33.42
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Masholanad East,Primary education or less,Percent,46.06
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Masholanad East,Secondary education (lower and upper secondary education),Percent,45.17
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Masholanad East,Primary education,Percent,46.06
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Midlands,Primary education or less,Percent,34.1
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Midlands,Secondary education (lower and upper secondary education),Percent,51.86
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Midlands,Primary education,Percent,34.1
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Matabeland North,Primary education or less,Percent,31.8
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Matabeland North,Secondary education (lower and upper secondary education),Percent,48.0
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Matabeland North,Primary education,Percent,31.8
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Matabeland South,Primary education or less,Percent,54.53
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Matabeland South,Secondary education (lower and upper secondary education),Percent,54.12
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Matabeland South,Primary education,Percent,54.53
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Masvingo,Primary education or less,Percent,31.47
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Masvingo,Secondary education (lower and upper secondary education),Percent,50.39
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Masvingo,Primary education,Percent,31.47
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Mashonaland West,Primary education or less,Percent,32.91
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Mashonaland West,Secondary education (lower and upper secondary education),Percent,50.11
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Mashonaland West,Primary education,Percent,32.91
