Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2020,Normal value,Units,MOHCC,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis [3.b.3],,Percent,51.0
2023,Normal value,Units,MOHCC,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis [3.b.3],,Percent,22.0
2024,Normal value,Units,MOHCC,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis [3.b.3],,Percent,49.11
