Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,FCZ,Forest area as a proportion of total land area [15.1.1],,Percent,45.69
2016,Normal value,Units,FCZ,Forest area as a proportion of total land area [15.1.1],,Percent,45.57
2017,Normal value,Units,FCZ,Forest area as a proportion of total land area [15.1.1],,Percent,45.45
2018,Normal value,Units,FCZ,Forest area as a proportion of total land area [15.1.1],,Percent,45.33
2019,Normal value,Units,FCZ,Forest area as a proportion of total land area [15.1.1],,Percent,45.21
2020,Normal value,Units,FCZ,Forest area as a proportion of total land area [15.1.1],,Percent,45.09
2024,Normal value,Units,FCZ,Forest area as a proportion of total land area [15.1.1],,Percent,47.0
